"Audience Rating",Color,Country,Genres,"IMDb Rating","IMDb Url","Is TV Series",Language,"Original Title",Plot,"Release Date","Release Year",Series,"Sort Title",Studios,Title,"Title Extension","Audio Tracks",Barcode,"Box Set",Distributor,Edition,"Edition Release Date","Edition Release Year",Extras,Format,HDR,Layers,"Nr Discs",Packaging,Regions,Runtime,"Screen Ratios",Subtitles,Actor,Director,Musician,Photography,Producer,Writer,"Added Date","Added Year","Collection Status",Condition,"Current Value",Features,Index,"Last Watched Date","Last Watched Where",Location,"Modified Date","My Rating",Notes,Owner,"Purchase Date","Purchase Price","Purchase Store","Purchase Year",Quantity,"Storage Device","Storage Slot",Tags,"Watch Count","Watch Year",Watched,"Due Date","Loan Date","Loaned To"
"US - G",Color,UK,"Adventure | Science Fiction",8.3,https://www.imdb.com/title/tt0062622/?ref_=ref_ext_clz,,English,,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1968,1968,,"2001: A Space Odyssey","Metro-Goldwyn-Mayer (MGM)","2001: A Space Odyssey",,"Dolby Digital 5.1 [] | Dolby Digital 5.1 [English]",7892110025423,"Stanley Kubrik",,,,,,DVD,,"Single side, Dual layer",1,"Keep Case","Region 4",149,"Widescreen (16:9, Anamorphic)","English | French | Portuguese | Spanish","Keir Dullea | Gary Lockwood | William Sylvester","Stanley Kubrick",,"Geoffrey Unsworth","Stanley Kubrick | Victor Lyndon","Stanley Kubrick | Arthur C. Clarke","Mar 16, 2026",2026,"In Collection",,,,408,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - PG-13",Color,USA,"Adventure | Drama | Science Fiction",7.2,https://www.imdb.com/title/tt0212720/?ref_=ref_ext_clz,,English,"A.I. Artificial Intelligence","David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.",2001,2001,,"A.I. Inteligência Artificial","Warner Bros.","A.I. Inteligência Artificial",,"Dolby Digital 5.1 EX [English] | Dolby Digital 5.1 EX [German] | Dolby Digital 5.1 EX [Spanish]",7321921213304,,"Warner Bros.","2 DVDs","Apr 04, 2002",2002,,DVD,,"Single side, Dual layer",2,Digipak,"Region 2",146,"Anamorphic Widescreen (1.78:1)","Croatian | Czech | Danish | Dutch | English | English (Closed Captioned) | Finnish | French | German | German (Closed Captioned) | Greek | Hebrew | Hungarian | Icelandic | Italian | Norwegian | Polish | Portuguese | Spanish | Swedish | Turkish","Haley Joel Osment | Frances O'Connor | Sam Robards","Steven Spielberg","John Williams","Janusz Kaminski","Bonnie Curtis | Jan Harlan | Kathleen Kennedy","Brian Aldiss | Ian Watson | Steven Spielberg","Mar 16, 2026",2026,"In Collection",,,,379,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - PG",Color,Mexico,"Adventure | Drama | Romance | War | Western",7,https://www.imdb.com/title/tt0065134/?ref_=ref_ext_clz,,English,"Two Mules for Sister Sara","When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery.",1970,1970,,"Abutres têm Fome","Universal Pictures","Os Abutres têm Fome",,,7898366216127,,,,,,,DVD,,N/A,1,,,116,,,"Shirley MacLaine | Clint Eastwood | Manolo Fabregas","Don Siegel","Ennio Morricone","Gabriel Figueroa | Robert Surtees","Carroll Case | Clint Eastwood | Martin Rackin","Budd Boetticher | Albert Maltz","Mar 16, 2026",2026,"In Collection",,,,311,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved","Black & White",USA,"Comedy | Romance",7.4,https://www.imdb.com/title/tt0041090/?ref_=ref_ext_clz,,English,,"A woman's attempted murder of her uncaring husband results in everyday quarrels in the lives of Adam and Amanda, a pair of happily married lawyers who end up on opposite sides of the case in court.",1949,1949,,"Adam's Rib","Metro-Goldwyn-Mayer (MGM)","Adam's Rib",,,9788516062941,"Clássicos do Cinema - Folha",,,,,,DVD,,N/A,1,,,101,,,"Spencer Tracy | Katharine Hepburn | Judy Holliday","George Cukor","Miklós Rózsa","George J. Folsey","Lawrence Weingarten","Ruth Gordon | Garson Kanin","Mar 17, 2026",2026,"In Collection",,,,467,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Approved",Color,USA,"Drama | Romance",6.3,https://www.imdb.com/title/tt0059674/?ref_=ref_ext_clz,,English,"The Sandpiper","A free-spirited single mother forms a connection with the wedded headmaster of an Episcopalian boarding school in Monterey, California.",1965,1965,,"Adeus às Ilusões","Metro-Goldwyn-Mayer (MGM)","Adeus às Ilusões",,,7896748237210,,,,,,,DVD,,N/A,1,,,117,,,"Elizabeth Taylor | Richard Burton | Eva Marie Saint","Vincente Minnelli","Johnny Mandel","Milton R. Krasner","John Calley | Martin Ransohoff","Martin Ransohoff | Irene Kamp | Louis Kamp","Mar 16, 2026",2026,"In Collection",,,,196,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved",Color,USA,"Action | Adventure | Romance",7.9,https://www.imdb.com/title/tt0029843/?ref_=ref_ext_clz,,English,,"Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.",1938,1938,,"Adventures of Robin Hood","Warner Bros.","The Adventures of Robin Hood",,,9788516062903,"Clássicos do Cinema - Folha",,,,,,DVD,,N/A,1,,,102,,,"Errol Flynn | Olivia de Havilland | Basil Rathbone","Michael Curtiz | William Keighley","Erich Wolfgang Korngold","Tony Gaudio | Sol Polito","Henry Blanke | Hal B. Wallis | Jack L. Warner","Norman Reilly Raine | Seton I. Miller | Rowland Leigh","Mar 17, 2026",2026,"In Collection",,,,466,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - G",Color,USA,"Adventure | Animation | Comedy | Family | Fantasy | Musical | Romance",8,https://www.imdb.com/title/tt0103639/?ref_=ref_ext_clz,,English,,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.",1992,1992,,Aladdin,"Buena Vista Pictures Distribution",Aladdin,,"Dolby Digital 5.1 [English] | Dolby Digital 5.1 [French] | Dolby Digital 5.1 [Spanish]",7890552004907,,"Walt Disney","Special Edition","Oct 05, 2004",2004,,DVD,,"Single side, Dual layer",2,"Keep Case","Region 1",90,,"English | French | Spanish","Scott Weinger | Robin Williams | Linda Larkin","Ron Clements | John Musker","Alan Menken",,"Ron Clements | Donald W. Ernst | John Musker","Ron Clements | John Musker | Ted Elliott","Mar 15, 2026",2026,"In Collection",,,,44,,,,"Mar 15, 2026",0,,,,,,,1,,,"Desenhos e animações | Doar?",0,,No,,,
"US - R",Color,Spain,"Comedy | Drama | Romance",7.8,https://www.imdb.com/title/tt0185125/?ref_=ref_ext_clz,,Spanish,,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",1999,1999,,"All About My Mother","Sony Pictures Classics","All About My Mother",,,7896012255636,Almodovar,,,,,,DVD,,N/A,1,,,101,,,"Cecilia Roth | Marisa Paredes | Candela Peña","Pedro Almodóvar","Alberto Iglesias","Affonso Beato","Agustin Almodovar | Claude Berri | Michel Ruben","Pedro Almodóvar","Mar 17, 2026",2026,"In Collection",,,,444,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Approved",Color,USA,"Crime | Drama | Film Noir | Thriller",7.7,https://www.imdb.com/title/tt0038057/?ref_=ref_ext_clz,,English,"Scarlet Street","Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",1945,1945,,"Almas Perversas","Universal Pictures","Almas Perversas",,,7898914026109,,,,,,,DVD,,N/A,1,,,102,,,"Edward G. Robinson | Joan Bennett | Dan Duryea","Fritz Lang","Hans J. Salter","Milton R. Krasner","Fritz Lang | Walter Wanger","Georges de la FOUCHARDIÈRE | André Mouézy-Éon | Dudley Nichols","Mar 16, 2026",2026,"In Collection",,,,222,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,USA,"Biography | Drama | Music",8.4,https://www.imdb.com/title/tt0086879/?ref_=ref_ext_clz,,English,,"Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.",1984,1984,,Amadeus,"Orion Pictures",Amadeus,,"Dolby Digital 5.1 [English]",7892110015370,,,,"Apr 01, 2003",2003,,DVD,,N/A,1,"Snap Case","Region 4",160,"Theatrical Widescreen (2.35:1)","English | Portuguese | Spanish","F. Murray Abraham | Tom Hulce | Elizabeth Berridge","Milos Forman",,"Miroslav Ondricek","Michael Hausman | Bertil Ohlsson | Saul Zaentz","Peter Shaffer | Zdenek Mahler","Mar 16, 2026",2026,"In Collection",,,,207,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,Italy,"Comedy | Drama",7.8,https://www.imdb.com/title/tt0071129/?ref_=ref_ext_clz,,Italian,,"In an Italian seaside town, young Titta gets into trouble with his friends and watches various local eccentrics as they engage in often absurd behavior. Frequently clashing with his stern father and defended by his doting mother, Titta witnesses the actions of a wide range of characters, from his extended family to Fascist loyalists to sensual women, with certain moments shifting into fantastical scenarios.",1973,1973,,Amarcord,"New World Pictures",Amarcord,,"Dolby Digital Mono [English] | SUB [English]",037429121825,,"The Criterion Collection","Special Edition","Mar 31, 1998",1998,,DVD,,"Single side, Single layer",1,"Keep Case","Region 2",123,"Fullscreen (4:3, Letterboxed) | Widescreen (1.85:1)",English,"Pupella Maggio | Armando Brancia | Magali Noël","Federico Fellini","Nino Rota","Giuseppe Rotunno","Roger Corman | Franco Cristaldi","Federico Fellini | Tonino Guerra","Mar 16, 2026",2026,"In Collection",,,,224,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,USA,"Drama | Romance | War",7.3,https://www.imdb.com/title/tt0077362/?ref_=ref_ext_clz,,English,"Coming Home","In 1968 California, a Marine officer's wife falls in love with a former high school classmate who suffered a paralyzing combat injury in the war.",1978,1978,,"Amargo Regresso","United Artists","Amargo Regresso",,,7895233115606,,,,,,,DVD,,N/A,1,,,127,,,"Jane Fonda | Jon Voight | Bruce Dern","Hal Ashby",,"Haskell Wexler","Bruce Gilbert | Jerome Hellman","Waldo Salt | Robert C. Jones | Nancy Dowd","Mar 16, 2026",2026,"In Collection",,,,361,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,France,"Comedy | Romance",8.3,https://www.imdb.com/title/tt0211915/?ref_=ref_ext_clz,,French,"Le Fabuleux Destin d'Amélie Poulain","At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",2001,2001,,"Amélie Poulain",Miramax,"Amélie Poulain",,,7899154500251,,,,,,,DVD,,N/A,1,,,122,,,"Audrey Tautou | Mathieu Kassovitz | Rufus","Jean-Pierre Jeunet","Yann Tiersen","Bruno Delbonnel","Helmut Breuer | Bastian Griese | Arne Meerkamp van Embden","Guillaume Laurant | Jean-Pierre Jeunet","Mar 16, 2026",2026,"In Collection",,,,213,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,USA,"Animation | Drama | History | Music | Musical",7.2,https://www.imdb.com/title/tt0082009/?ref_=ref_ext_clz,,English,,"The history of American popular music runs parallel with the history of a Russian Jewish immigrant family, with each male descendant possessing different musical abilities.",1981,1981,,"American Pop","Columbia Pictures","American Pop",,"Dolby Digital Stereo [English] | Dolby Digital Stereo [Spanish] | Dolby Digital Surround [English] | Stereo [English]",043396195998,,Sony,,"Jun 16, 1998",1998,,DVD,,"Dual side, Single layer",1,"Keep Case","Region 1",96,"Fullscreen (4:3) | Fullscreen (4:3, Letterboxed) | Widescreen (1.85:1)","English | French | Spanish","Ron Thompson | Mews Small | Jerry Holland","Ralph Bakshi","Lee Holdridge",,"Maggie Abbott | Ralph Bakshi | Lynne Betner","Ronni Kern","Mar 16, 2026",2026,"In Collection",,,,130,,,,"Mar 16, 2026",0,,,,,,,1,,,Música,0,,No,,,
"US - PG-13",Color,USA,"Comedy | Romance",7,https://www.imdb.com/title/tt0457939/?ref_=ref_ext_clz,,English,"The Holiday","Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",2006,2006,,"Amor não Tira Férias","Sony Pictures Releasing","O Amor não Tira Férias",,"Dolby Digital Stereo [English]",043396173828,,"Sony Pictures Home Entertainment","Single-Disc Edition","Mar 13, 2007",2007,,DVD,,"Single side, Single layer",1,"Keep Case","Region 1",136,"Widescreen (1.85:1)","English (Closed Captioned) | French (Closed Captioned)","Cameron Diaz | Kate Winslet | Jude Law","Nancy Meyers","Hans Zimmer","Dean Cundey","Bruce A. Block | Jennifer Eatz | Suzanne McNeill Farwell","Nancy Meyers","Mar 16, 2026",2026,"In Collection",,,,369,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
,Color,,,,,,,,,,,,"Ana Cañas - Coração Inevitável",,"Ana Cañas - Coração Inevitável",,,,,,,,,,,,N/A,0,,,0,,,,,,,,,"Mar 16, 2026",2026,"In Collection",,,,169,,,,"Mar 16, 2026",0,,,,,,,1,,,Música,0,,No,,,
"US - PG",Color,UK,Comedy,7.5,https://www.imdb.com/title/tt0066765/?ref_=ref_ext_clz,,English,,"A collection of Monty Python's Flying Circus skits from the first two seasons of their British TV series.",1971,1971,,"And Now for Something Completely Different","Columbia Pictures","And Now for Something Completely Different",,,,"Monty Python: The Movies",,,,,,DVD,,N/A,1,,,88,,,"Graham Chapman | John Cleese | Terry Gilliam","Ian MacNaughton","Douglas Gamley","David Muir","Judd Bernard | Patricia Casey | David Gil","Graham Chapman | John Cleese | Terry Gilliam","Mar 15, 2026",2026,"In Collection",,,,12,,,,"Mar 16, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
,Color,Germany,Music,,,,German,,"Once again a fantastic DVD from André Rieu: two-and-a-half hours of heart-warming music and fabulous photography, all recorded in Vienna, musical capital of the world. Gorgeous Viennese waltzes, songs and marches, famous Viennese operettas, dances, beautiful costumes, the Johann Strauss Orchestra enjoying skating by the Vienna Town Hall (to the strains of a Viennese waltz of course) the golden coach with six white horses... and of course André in his starring role as conductor, violinist and entertainer. In short, you will hardly be able to take in so much beauty all at once! But luckily you can put a DVD on and enjoy it again and again.",2011,2011,,"André Rieu: And De Waltz Goes On",Polydor,"André Rieu: And De Waltz Goes On",,"Dolby Digital Stereo [English]",602527805900,,,,2011,2011,,DVD,,N/A,1,,"Region Free",175,"Widescreen (16:9)","Dutch | English | French | Spanish","Andre Rieu | Anthony Hopkins",,,,,,"Mar 16, 2026",2026,"In Collection",,,,357,,,,"Mar 16, 2026",0,,,,,,,1,,,Música,0,,No,,,
"US - PG-13",Color,USA,"Mystery | Thriller",6.7,https://www.imdb.com/title/tt0808151/?ref_=ref_ext_clz,,English,"Angels & Demons","Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave.",2009,2009,,"Anjos e Demônios","Sony Pictures Releasing","Anjos e Demônios",,"Dolby Digital 5.1 [English] | Dolby Digital 5.1 [Portuguese]",7892770024088,,,"Versão Extendida","Nov 24, 2009",2009,,DVD,,"Single side, Single layer",1,"Custom Case","Region 4",138,,"English | Portuguese","Tom Hanks | Ewan McGregor | Ayelet Zorer","Ron Howard","Hans Zimmer","Salvatore Totino","Dan Brown | John Calley | William M. Connor","David Koepp | Akiva Goldsman | Dan Brown","Mar 16, 2026",2026,"In Collection",,,,352,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved","Black & White",USA,"Drama | Romance",7,https://www.imdb.com/title/tt0026071/?ref_=ref_ext_clz,,English,,"In Imperial Russia, Anna, wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets charming cavalry officer Vronsky, to whom she's immediately attracted. But in St. Petersburg’s high society, a relationship like this could destroy a woman’s reputation.",1935,1935,,"Anna Karenina","Metro-Goldwyn-Mayer (MGM)","Anna Karenina",,,7892110043847,"Coleção Greta Garbo",,,,,,DVD,,N/A,1,,,95,,,"Greta Garbo | Fredric March | Freddie Bartholomew","Clarence Brown","Herbert Stothart","William H. Daniels","David O. Selznick","Leo Tolstoy | Clemence Dane | Salka Viertel","Mar 16, 2026",2026,"In Collection",,,,225,,,,"Mar 16, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - R",Color,USA,"Action | Crime | Drama | Thriller",5.1,https://www.imdb.com/title/tt1535612/?ref_=ref_ext_clz,,English,"The Son of No One","A rookie cop is assigned to the 118 Precinct in the same district where he grew up. The Precinct Captain starts receiving letters about two unsolved murders that happened many years ago in the housing projects when the rookie cop was just a kid. These letters bring back bad memories and old secrets that begin to threaten his career and break up his family.",2011,2011,,Anti-Heróis,"Anchor Bay Films",Anti-Heróis,,,7899154512445,,,,,,,DVD,,N/A,1,,,90,,,"Al Pacino | Channing Tatum | James Ransone","Dito Montiel","Jonathan Elias | David Wittman","Benoît Delhomme | Richard Picano","Brian Bell | Ç. Duygu Bingöl | Boaz Davidson","Dito Montiel","Mar 16, 2026",2026,"In Collection",,,,330,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
,Color,,,,,,,,,,,,"Antonio Villeroy - Sinal dos Tempos",,"Antonio Villeroy - Sinal dos Tempos",,,5051011754722,,,,,,,,,N/A,0,,,0,,,,,,,,,"Mar 16, 2026",2026,"In Collection",,,,116,,,,"Mar 16, 2026",0,,,,,,,1,,,Música,0,,No,,,
"US - Not Rated","Black & White",Italy,"Crime | Drama | Thriller",7,https://www.imdb.com/title/tt0054640/?ref_=ref_ext_clz,,Italian,,"Suave antiques dealer Alfredo Martelli is picked up by the police with no justification. At the precinct, Martelli realizes what the investigation is all about-- that he is the main suspect in the killing of his wealthy ex-lover. Is he guilty, or is he just a sleaze?",1961,1961,,Assassin,"Pan World","The Assassin",,,9788581931760,"Grandes Astros do Cinema - Folha",,,,,,DVD,,N/A,1,,,83,,,"Marcello Mastroianni | Micheline Presle | Cristina Gaioni","Elio Petri","Piero Piccioni","Carlo Di Palma","Franco Cristaldi","Tonino Guerra | Elio Petri | Pasquale Festa Campanile","Mar 17, 2026",2026,"In Collection",,,,496,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - R",Color,UK,"Drama | Romance",6.8,https://www.imdb.com/title/tt0149723/?ref_=ref_ext_clz,,English,Besieged,"While in exile in Italy, an African woman finds herself trying to get back home and free her imprisoned husband. But the only man that can help her do so is in love with her.",1998,1998,,Assédio,"Fine Line Features",Assédio,,,7897119440260,,,,,,,DVD,,N/A,1,,,93,,,"Thandie Newton | David Thewlis | Claudio Santamaria","Bernardo Bertolucci","Alessio Vlad","Fabio Cianchetti","Massimo Cortesi | Clare Peploe","Clare Peploe | Bernardo Bertolucci | James Lasdun","Mar 16, 2026",2026,"In Collection",,,,191,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - PG-13",Color,USA,"Action | Adventure | Comedy | Crime",6.3,https://www.imdb.com/title/tt0295178/?ref_=ref_ext_clz,,English,,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",2002,2002,,"Austin Powers in Goldmember","New Line Cinema","Austin Powers in Goldmember",,"Dolby Digital 5.1 EX [English] | Dolby Digital Surround [English] | DTS 6.1 ES [English]",794043607820,,"New Line Home Video","1 Disc DVD","Dec 01, 2002",2002,,DVD,,"Single side, Dual layer",1,Clamshell,"Region 1",94,"Theatrical Widescreen (2.35:1)","English (Closed Captioned)","Mike Myers | Beyonce Knowles | Seth Green","Jay Roach","George S. Clinton","Peter Deming","Katherine E. Beyda | Richard Brener | Toby Emmerich","Mike Myers | Michael McCullers","Mar 16, 2026",2026,"In Collection",,,,250,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - PG-13",Color,Germany,"Adventure | Comedy",7,https://www.imdb.com/title/tt0118655/?ref_=ref_ext_clz,,English,,"As a swinging fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy. But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might.",1997,1997,,"Austin Powers: International Man of Mystery","New Line Cinema","Austin Powers: International Man of Mystery",,"Dolby Digital 5.1 [English] | Dolby Digital 5.1 [French (Closed Captioned)] | Dolby Digital Stereo [French] | Dolby Digital Surround [English]",794043457722,,"New Line Cinema","1 Disc DVD","Jul 24, 2001",2001,,DVD,,"Dual side, Dual layer",1,"Snap Case","Region 1",89,"Anamorphic Widescreen (2.00:1) | Standard (1.33:1)","English | French | Spanish","Mike Myers | Elizabeth Hurley | Michael York","Jay Roach","George S. Clinton","Peter Deming","Eric McLeod | Demi Moore | Mike Myers","Mike Myers","Mar 16, 2026",2026,"In Collection",,,,249,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - PG-13",Color,USA,"Action | Adventure | Comedy | Crime",6.7,https://www.imdb.com/title/tt0145660/?ref_=ref_ext_clz,,English,,"When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo,’ Austin must return to the swingin' '60s himself - with the help of American agent, Felicity Shagwell - to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions to try to save the world in his own unbelievably groovy way.",1999,1999,,"Austin Powers: The Spy Who Shagged Me","New Line Cinema","Austin Powers: The Spy Who Shagged Me",,"Dolby Digital 5.1 [English] | Dolby Digital Surround [English]",794043489129,,"New Line Cinema","1 Disc DVD","Nov 16, 1999",1999,,DVD,,"Single side, Single layer",1,"Snap Case","Region 1",95,"Theatrical Widescreen (2.35:1)","English (Closed Captioned)","Mike Myers | Heather Graham | Michael York","Jay Roach","George S. Clinton","Ueli Steiger","Emma Chasin | Michael De Luca | Donna Langley","Mike Myers | Michael McCullers","Mar 16, 2026",2026,"In Collection",,,,265,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - PG-13",Color,UK,"Adventure | Drama | Romance | War | Western",6.6,https://www.imdb.com/title/tt0455824/?ref_=ref_ext_clz,,English,,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin by Japanese forces firsthand.",2008,2008,,Australia,"Twentieth Century Fox",Australia,,,7898497613642,,,,,,,DVD,,N/A,1,,,165,,,"Hugh Jackman | Nicole Kidman | David Wenham","Baz Luhrmann","David Hirschfelder","Mandy Walker","G. Mac Brown | Catherine Knapman | Baz Luhrmann","Stuart Beattie | Baz Luhrmann | Ronald Harwood","Mar 16, 2026",2026,"In Collection",,,,285,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
,Color,Brazil,"Comedy | Drama | Fantasy",8.6,https://www.imdb.com/title/tt0271383/?ref_=ref_ext_clz,,Portuguese,"O Auto da Compadecida","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",2000,2000,,"Auto da Compadecida","Globo Filmes","O Auto da Compadecida",,"Stereo [Portuguese]",7892770003571,,,,,,,DVD,,"Single side, Dual layer",2,"Super Jewel Case","Region 4",104,"Fullscreen (4:3)",English,"Matheus Nachtergaele | Selton Mello | Rogerio Cardoso","Guel Arraes","Sá Grama","Felix Monti","Guel Arraes | Eduardo Figueira | Daniel Filho","Guel Arraes | Adriana Falcão | João Falcão","Mar 16, 2026",2026,"In Collection",,,,212,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
,Color,USA,Music,,,,English,,,2000,2000,,"B.B. King: The Jazz Channel Presents: BET On Jazz",Image,"B.B. King: The Jazz Channel Presents: BET On Jazz",,,7894770007719,,,,,,,DVD,,N/A,1,,,65,,,"B.B. King | Alyssa-Jane Cook | Scott Burgess",,,,,,"Mar 16, 2026",2026,"In Collection",,,,106,,,,"Mar 17, 2026",0,,,,,,,1,,,Música,0,,No,,,
"US - PG",Color,UK,"Comedy | Family | Fantasy",6.6,https://www.imdb.com/title/tt0396752/?ref_=ref_ext_clz,,English,"Nanny McPhee","Widower Cedric Brown hires Nanny McPhee to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor, Lady Adelaide Stitch, threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.",2005,2005,,"Babá McPhee","Universal Pictures","Babá McPhee",,,7892141409322,,,,,,,DVD,,N/A,1,,,97,,,"Emma Thompson | Colin Firth | Kelly MacDonald","Kirk Jones","Patrick Doyle","Henry Braham","Tim Bevan | David Brown | Liza Chasin","Emma Thompson | Christianna Brand","Mar 15, 2026",2026,"In Collection",,,,57,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - PG",Color,USA,"Adventure | Comedy | Science Fiction",8.5,https://www.imdb.com/title/tt0088763/?ref_=ref_ext_clz,,English,,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",1985,1985,,"Back to the Future","Universal Pictures","Back to the Future",,,,"Back To The Future: The Complete Trilogy",,,,,,DVD,,N/A,1,,,116,,,"Michael J. Fox | Christopher Lloyd | Lea Thompson","Robert Zemeckis","Alan Silvestri","Dean Cundey","Neil Canton | Bob Gale | Kathleen Kennedy","Robert Zemeckis | Bob Gale","Mar 15, 2026",2026,"In Collection",,,,29,,,,"Mar 16, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - PG",Color,USA,"Adventure | Comedy | Science Fiction",7.8,https://www.imdb.com/title/tt0096874/?ref_=ref_ext_clz,,English,,"Marty and Doc are at it again as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",1989,1989,,"Back to the Future Part II","Universal Pictures","Back to the Future Part II",,,,"Back To The Future: The Complete Trilogy",,,,,,DVD,,N/A,1,,,108,,,"Michael J. Fox | Christopher Lloyd | Lea Thompson","Robert Zemeckis","Alan Silvestri","Dean Cundey","Neil Canton | Bob Gale | Kathleen Kennedy","Robert Zemeckis | Bob Gale","Mar 15, 2026",2026,"In Collection",,,,30,,,,"Mar 16, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
