"Audience Rating",Color,Country,Genres,"IMDb Rating","IMDb Url","Is TV Series",Language,"Original Title",Plot,"Release Date","Release Year",Series,"Sort Title",Studios,Title,"Title Extension","Audio Tracks",Barcode,"Box Set",Distributor,Edition,"Edition Release Date","Edition Release Year",Extras,Format,HDR,Layers,"Nr Discs",Packaging,Regions,Runtime,"Screen Ratios",Subtitles,Actor,Director,Musician,Photography,Producer,Writer,"Added Date","Added Year","Collection Status",Condition,"Current Value",Features,Index,"Last Watched Date","Last Watched Where",Location,"Modified Date","My Rating",Notes,Owner,"Purchase Date","Purchase Price","Purchase Store","Purchase Year",Quantity,"Storage Device","Storage Slot",Tags,"Watch Count","Watch Year",Watched,"Due Date","Loan Date","Loaned To"
,Color,Brazil,Music,,,,Portuguese,,"Year-end special brought together three interpreters of Brazilian popular music - Gilberto Gil, Caetano Veloso and Ivete Sangalo - to honour the Brazilian woman.","Apr 21, 2012",2012,,"Ivete, Gil e Caetano","Rede Globo","Especial: Ivete, Gil e Caetano",,,602537003440,,,,,,,DVD,,N/A,1,,,70,,,"Ivete Sangalo | Gilberto Gil | Caetano Veloso","Roberto Talma | Rafael Dragaud",,,,,"Mar 16, 2026",2026,"In Collection",,,,159,,,,"Mar 16, 2026",0,,,,,,,1,,,Música,0,,No,,,
"US - R",Color,USA,"Crime | Drama | Thriller",7.5,https://www.imdb.com/title/tt0119396/?ref_=ref_ext_clz,,English,,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.",1997,1997,,"Jackie Brown",Miramax,"Jackie Brown",,,7898905308870,,,,,,,DVD,,N/A,1,,,154,,,"Pam Grier | Samuel L. Jackson | Robert Forster","Quentin Tarantino",,"Guillermo Navarro","Lawrence Bender | Richard N. Gladstein | Paul Hellerman","Quentin Tarantino | Elmore Leonard","Mar 16, 2026",2026,"In Collection",,,,187,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved",Color,USA,"Drama | Mystery | Thriller",8.5,https://www.imdb.com/title/tt0047396/?ref_=ref_ext_clz,,English,"Rear Window","A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.",1954,1954,,"Janela Indiscreta","Paramount Pictures","Janela Indiscreta",,,7892141400237,Hitchcock,,,,,,DVD,,N/A,1,,,112,,,"James Stewart | Grace Kelly | Wendell Corey","Alfred Hitchcock","Franz Waxman","Robert Burks","Alfred Hitchcock","John Michael Hayes | William Irish Jr.","Mar 16, 2026",2026,"In Collection",,,,246,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
,Color,UK,"Documentary | History | Music",8.6,https://www.imdb.com/title/tt0221300/?ref_=ref_ext_clz,1,English,,"This series explores the history of the major American musical form. We track its development in African American culture, its rise to prominence with its golden age of popularity spanning from the 1920's to the mid 1940's both in its original form and in Swing through its popular decline and the rise of vital new sub-genres into the present day. Along the way, we learn of the lives and work of major contributors to the form such as Louis Armstrong, Duke Ellington, Billie Holiday, Benny Goodman, Charlie ""Bird"" Parker and many others who helped form Jazz into the vibrant musical form it is. Moreover, we see how the music reflected the political and social issues of the African American community over the course of the form's history.",2001,2001,Jazz,"Jazz: The Complete Series","Public Broadcasting Service (PBS)","Jazz: The Complete Series",,,7891430302092,,,,"Dec 01, 2002",2002,,DVD,,N/A,1,,,1075,,,"Keith David | Wynton Marsalis | Courtney B. Vance","Ken Burns",,"Ken Burns | Buddy Squires","Sarah Botstein | Natalie Bullock Brown | Ken Burns","Geoffrey C. Ward","Mar 16, 2026",2026,"In Collection",,,,143,,,,"Mar 16, 2026",0,,,,,,,1,,,Música,0,,No,,,
"US - PG",Color,USA,Documentary,7.8,https://www.imdb.com/title/tt1772925/?ref_=ref_ext_clz,,Japanese,,"Revered sushi chef Jiro Ono strives for perfection in his work, while his eldest son, Yoshikazu, has trouble living up to his father's legacy.",2011,2011,,"Jiro Dreams of Sushi","Magnolia Pictures","Jiro Dreams of Sushi",,"SUB [English]",876964004732,,"Magnolia Pictures",,"Jul 24, 2012",2012,,DVD,,N/A,1,,"Region 1",81,"Widescreen (1.85:1)",,"Jiro Ono | Yoshikazu Ono | Masuhiro Yamamoto","David Gelb","Jeff Foxworth | The Ontic | Rye Randa","David Gelb","Jacob Aronson | Joey Carey | Ross M. Dinerstein",,"Mar 15, 2026",2026,"In Collection",,,,40,,,,"Mar 15, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved","Black & White",USA,"Drama | Western",6.8,https://www.imdb.com/title/tt0028108/?ref_=ref_ext_clz,,English,"The Plainsman","Wild Bill Hickok, Calamity Jane, and Buffalo Bill go up against Indians and a gunrunner.",1936,1936,,"Jornadas Heróicas","Paramount Pictures","Jornadas Heróicas",,,7898366212181,,,,,,,DVD,,N/A,1,,,113,,,"Gary Cooper | Jean Arthur | James Ellison","Cecil B. DeMille","George Antheil","Victor Milner | George Robinson","Cecil B. DeMille | William LeBaron | William H. Pine","Waldemar Young | Harold Lamb | Lynn Riggs","Mar 17, 2026",2026,"In Collection",,,,508,,,,"Mar 17, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved","Black & White",USA,"Drama | History | War",8.3,https://www.imdb.com/title/tt0055031/?ref_=ref_ext_clz,,English,"Judgment at Nuremberg","In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",1961,1961,,"Julgamento em Nuremberg","United Artists","Julgamento em Nuremberg",,"Dolby Digital 5.1 [English] | Dolby Digital Mono [English]",027616911148,,"MGM Home Entertainment","Special Edition","Sep 14, 2004",2004,,DVD,,"Single side, Single layer",1,"Snap Case","Region 1",179,"Anamorphic Widescreen (1.66:1)","English | French | Spanish","Spencer Tracy | Burt Lancaster | Richard Widmark","Stanley Kramer","Ernest Gold","Ernest Laszlo","Stanley Kramer | Philip Langner","Abby Mann | Montgomery Clift","Mar 16, 2026",2026,"In Collection",,,,370,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved",Color,USA,"Drama | History",7.2,https://www.imdb.com/title/tt0045943/?ref_=ref_ext_clz,,English,,"The growing ambition of Julius Caesar is a source of major concern to his close friend Brutus. Cassius persuades him to participate in his plot to assassinate Caesar but both have sorely underestimated Mark Antony.",1953,1953,,"Julius Caesar","Metro-Goldwyn-Mayer (MGM)","Julius Caesar",,,7892110048224,,,,,,,DVD,,N/A,1,,,120,,,"Marlon Brando | James Mason | John Gielgud","Joseph L. Mankiewicz","Miklós Rózsa","Joseph Ruttenberg","John Houseman | Jud Kinberg","William Shakespeare | Joseph L. Mankiewicz","Mar 16, 2026",2026,"In Collection",,,,323,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Passed","Black & White",USA,"Comedy | Drama | Family",8.2,https://www.imdb.com/title/tt0012349/?ref_=ref_ext_clz,,English,,"A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.",1921,1921,,Kid,"First National Pictures","The Kid",,,9788581930084,"Charles Chaplin - Folha",,,,,,DVD,,N/A,1,,,68,,,"Charlie Chaplin | Jackie Coogan | Carl Miller","Charlie Chaplin","Charlie Chaplin","Roland Totheroh","Charlie Chaplin","Charlie Chaplin","Mar 17, 2026",2026,"In Collection",,,,479,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Not Rated","Black & White",USA,Comedy,5.7,https://www.imdb.com/title/tt0004189/?ref_=ref_ext_clz,,English,,"The Tramp interferes with the celebration of several kid auto races in Venice, California (Junior Vanderbilt Cup Race, January 10 and 11, 1914), standing himself in the way of the cameraman who is filming the event.",1914,1914,,"Kid Auto Races at Venice","Mutual Film","Kid Auto Races at Venice",,,9788581930060,"Charles Chaplin - Folha",,,,,,DVD,,N/A,1,,,11,,,"Charlie Chaplin | Henry Lehrman | Gordon Griffith","Henry Lehrman",,"Enrique Juan Vallejo | Frank D. Williams","Mack Sennett","Henry Lehrman | Charlie Chaplin","Mar 17, 2026",2026,"In Collection",,,,489,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
